game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,11,7,4,1
1,0,13,7,6,1
2,0,7,7,0,1
3,0,11,7,4,1
4,0,13,6,7,0
5,0,13,7,6,1
6,0,11,7,4,1
7,0,12,5,7,0
8,0,9,2,7,0
9,0,13,7,6,1
10,0,11,7,4,1
11,0,8,7,1,1
12,0,12,5,7,0
13,0,11,7,4,1
14,0,12,7,5,1
15,0,8,1,7,0
16,0,13,6,7,0
17,0,10,7,3,1
18,0,11,7,4,1
19,0,12,5,7,0
20,0,9,7,2,1
21,0,11,7,4,1
22,0,9,7,2,1
23,0,8,7,1,1
24,0,10,7,3,1
25,0,11,7,4,1
26,0,12,5,7,0
27,0,13,7,6,1
28,0,11,4,7,0
29,0,12,5,7,0
30,0,13,7,6,1
31,0,11,7,4,1
32,0,12,7,5,1
33,0,9,7,2,1
34,0,10,7,3,1
35,0,9,2,7,0
36,0,10,7,3,1
37,0,12,5,7,0
38,0,12,5,7,0
39,0,13,7,6,1
40,0,9,2,7,0
41,0,10,7,3,1
42,0,13,7,6,1
43,0,12,7,5,1
44,0,13,7,6,1
45,0,8,7,1,1
46,0,12,5,7,0
47,0,10,3,7,0
48,0,10,7,3,1
49,0,12,5,7,0
50,0,13,7,6,1
51,0,12,5,7,0
52,0,10,3,7,0
53,0,13,7,6,1
54,0,7,7,0,1
55,0,11,7,4,1
56,0,11,7,4,1
57,0,12,5,7,0
58,0,10,7,3,1
59,0,11,7,4,1
60,0,8,7,1,1
61,0,11,7,4,1
62,0,7,7,0,1
63,0,9,7,2,1
64,0,13,6,7,0
65,0,10,7,3,1
66,0,13,7,6,1
67,0,11,7,4,1
68,0,8,7,1,1
69,0,9,2,7,0
70,0,10,7,3,1
71,0,10,3,7,0
72,0,13,7,6,1
73,0,9,7,2,1
74,0,11,7,4,1
75,0,12,5,7,0
76,0,13,7,6,1
77,0,13,7,6,1
78,0,13,7,6,1
79,0,8,7,1,1
80,0,12,7,5,1
81,0,12,7,5,1
82,0,12,7,5,1
83,0,9,7,2,1
84,0,11,4,7,0
85,0,11,7,4,1
86,0,12,7,5,1
87,0,11,7,4,1
88,0,13,7,6,1
89,0,10,3,7,0
90,0,12,5,7,0
91,0,12,7,5,1
92,0,12,7,5,1
93,0,9,2,7,0
94,0,11,7,4,1
95,0,8,7,1,1
96,0,9,7,2,1
97,0,9,2,7,0
98,0,13,6,7,0
99,0,11,7,4,1
100,0,12,7,5,1
101,0,12,5,7,0
102,0,10,3,7,0
103,0,13,7,6,1
104,0,12,7,5,1
105,0,9,7,2,1
106,0,12,5,7,0
107,0,12,7,5,1
108,0,8,7,1,1
109,0,11,7,4,1
110,0,9,7,2,1
111,0,10,7,3,1
112,0,10,7,3,1
113,0,9,7,2,1
114,0,11,7,4,1
115,0,10,7,3,1
116,0,9,2,7,0
117,0,13,7,6,1
118,0,11,7,4,1
119,0,12,7,5,1
120,0,10,3,7,0
121,0,12,5,7,0
122,0,12,5,7,0
123,0,11,7,4,1
124,0,9,7,2,1
125,0,11,4,7,0
126,0,11,7,4,1
127,0,13,7,6,1
0,1,12,7,5,1
1,1,10,7,3,1
2,1,13,7,6,1
3,1,13,6,7,0
4,1,13,7,6,1
5,1,11,7,4,1
6,1,12,5,7,0
7,1,11,7,4,1
8,1,9,7,2,1
9,1,10,3,7,0
10,1,9,7,2,1
11,1,10,3,7,0
12,1,12,7,5,1
13,1,13,6,7,0
14,1,13,6,7,0
15,1,7,7,0,1
16,1,11,7,4,1
17,1,10,7,3,1
18,1,12,7,5,1
19,1,9,7,2,1
20,1,10,3,7,0
21,1,11,4,7,0
22,1,10,7,3,1
23,1,12,7,5,1
24,1,13,6,7,0
25,1,12,7,5,1
26,1,9,7,2,1
27,1,10,7,3,1
28,1,12,7,5,1
29,1,8,7,1,1
30,1,12,7,5,1
31,1,13,7,6,1
32,1,11,7,4,1
33,1,10,3,7,0
34,1,12,7,5,1
35,1,10,7,3,1
36,1,13,7,6,1
37,1,10,3,7,0
38,1,8,7,1,1
39,1,13,6,7,0
40,1,11,7,4,1
41,1,12,5,7,0
42,1,13,6,7,0
43,1,13,7,6,1
44,1,12,7,5,1
45,1,10,7,3,1
46,1,8,7,1,1
47,1,10,7,3,1
48,1,12,7,5,1
49,1,11,7,4,1
50,1,11,7,4,1
51,1,8,7,1,1
52,1,12,7,5,1
53,1,10,7,3,1
54,1,10,7,3,1
55,1,12,5,7,0
56,1,12,5,7,0
57,1,12,7,5,1
58,1,11,7,4,1
59,1,10,7,3,1
60,1,13,6,7,0
61,1,12,7,5,1
62,1,9,2,7,0
63,1,13,6,7,0
64,1,8,7,1,1
65,1,9,7,2,1
66,1,11,7,4,1
67,1,13,6,7,0
68,1,13,7,6,1
69,1,13,7,6,1
70,1,13,7,6,1
71,1,9,7,2,1
72,1,10,7,3,1
73,1,12,7,5,1
74,1,11,7,4,1
75,1,8,7,1,1
76,1,11,4,7,0
77,1,11,7,4,1
78,1,12,7,5,1
79,1,11,4,7,0
80,1,9,7,2,1
81,1,11,7,4,1
82,1,11,7,4,1
83,1,11,7,4,1
84,1,11,7,4,1
85,1,9,7,2,1
86,1,10,7,3,1
87,1,13,6,7,0
88,1,13,6,7,0
89,1,12,7,5,1
90,1,10,7,3,1
91,1,13,6,7,0
92,1,10,7,3,1
93,1,12,7,5,1
94,1,12,5,7,0
95,1,12,5,7,0
96,1,12,7,5,1
97,1,9,7,2,1
98,1,10,7,3,1
99,1,13,6,7,0
100,1,11,7,4,1
101,1,9,7,2,1
102,1,10,7,3,1
103,1,12,7,5,1
104,1,8,1,7,0
105,1,12,7,5,1
106,1,8,7,1,1
107,1,12,5,7,0
108,1,9,2,7,0
109,1,12,7,5,1
110,1,11,7,4,1
111,1,13,6,7,0
112,1,8,7,1,1
113,1,12,7,5,1
114,1,12,5,7,0
115,1,12,7,5,1
116,1,8,7,1,1
117,1,12,7,5,1
118,1,10,7,3,1
119,1,13,7,6,1
120,1,13,7,6,1
121,1,13,6,7,0
122,1,13,7,6,1
123,1,11,4,7,0
124,1,11,7,4,1
125,1,11,7,4,1
