game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,12,7,5,1
1,0,13,7,6,1
2,0,11,7,4,1
3,0,8,7,1,1
4,0,8,7,1,1
5,0,12,7,5,1
6,0,9,7,2,1
7,0,11,7,4,1
8,0,13,6,7,0
9,0,13,7,6,1
10,0,13,7,6,1
11,0,11,7,4,1
12,0,8,7,1,1
13,0,9,7,2,1
14,0,10,7,3,1
15,0,13,7,6,1
16,0,8,7,1,1
17,0,12,7,5,1
18,0,13,6,7,0
19,0,13,7,6,1
20,0,13,7,6,1
21,0,10,3,7,0
22,0,12,7,5,1
23,0,10,7,3,1
24,0,13,7,6,1
25,0,10,3,7,0
26,0,12,5,7,0
27,0,8,7,1,1
28,0,10,7,3,1
29,0,9,7,2,1
30,0,11,7,4,1
31,0,12,7,5,1
32,0,9,7,2,1
33,0,13,7,6,1
34,0,11,7,4,1
35,0,11,7,4,1
36,0,9,7,2,1
37,0,13,7,6,1
38,0,12,7,5,1
39,0,11,7,4,1
40,0,13,6,7,0
41,0,9,7,2,1
42,0,12,5,7,0
43,0,11,7,4,1
44,0,11,4,7,0
45,0,11,7,4,1
46,0,9,2,7,0
47,0,10,3,7,0
48,0,12,7,5,1
49,0,10,7,3,1
50,0,11,7,4,1
51,0,11,4,7,0
52,0,9,7,2,1
53,0,11,7,4,1
54,0,10,3,7,0
55,0,11,7,4,1
56,0,13,6,7,0
57,0,11,7,4,1
58,0,13,6,7,0
59,0,12,5,7,0
60,0,13,6,7,0
61,0,11,7,4,1
62,0,10,3,7,0
63,0,13,7,6,1
0,1,12,7,5,1
1,1,12,7,5,1
2,1,9,7,2,1
3,1,12,5,7,0
4,1,12,5,7,0
5,1,13,7,6,1
6,1,11,7,4,1
7,1,11,7,4,1
8,1,11,4,7,0
9,1,8,7,1,1
10,1,9,7,2,1
11,1,11,7,4,1
12,1,12,7,5,1
13,1,9,2,7,0
14,1,13,6,7,0
15,1,8,1,7,0
16,1,13,7,6,1
17,1,11,7,4,1
18,1,10,7,3,1
19,1,10,3,7,0
20,1,9,2,7,0
21,1,12,7,5,1
22,1,11,7,4,1
23,1,12,5,7,0
24,1,13,6,7,0
25,1,10,7,3,1
26,1,12,7,5,1
27,1,12,7,5,1
28,1,13,6,7,0
29,1,13,7,6,1
30,1,9,7,2,1
31,1,9,7,2,1
32,1,12,5,7,0
33,1,13,6,7,0
34,1,7,0,7,0
35,1,13,6,7,0
36,1,12,7,5,1
37,1,12,5,7,0
38,1,10,7,3,1
39,1,12,5,7,0
40,1,12,5,7,0
41,1,10,3,7,0
42,1,12,7,5,1
43,1,12,5,7,0
44,1,12,5,7,0
45,1,9,7,2,1
46,1,8,7,1,1
47,1,13,6,7,0
48,1,13,6,7,0
49,1,13,7,6,1
50,1,12,5,7,0
51,1,11,7,4,1
52,1,12,7,5,1
53,1,13,7,6,1
54,1,12,7,5,1
55,1,10,3,7,0
56,1,11,7,4,1
57,1,12,7,5,1
58,1,13,6,7,0
59,1,12,7,5,1
60,1,13,7,6,1
61,1,10,3,7,0
62,1,12,7,5,1
63,1,10,7,3,1
